file,main_full,discipline,private_vb,that_del,contract,vb_present,pro_2,do_pro,pro_dem,emphatic,pro_1,pro_it,vb_be,sub_conj_caus,disc_particle,pro_nom,hedge,amplifr,wh_ques,mod_poss,coord_conj_cls,wh_cls,prep_final,nn_all,prep.x,jj_attr,vb_past,pro_3,vb_perfect,vb_public,wh_rel_obj,wh_rel_subj,wh_rel_pipe,coord_conj_phrs,nn_nom,adv_time,adv_place,adv,infinitive,mod_pred,vb_suasive,sub_conj_cond,mod_necess,split_aux,conj_advl,passive_short,passive_by,passive_postnom,sub_conj_othr,th_vb,adv_down,jj_pred,mod_all,conj_all,passive_all,wh_all,wh_rel_all,jj_all,pro_all,vb_have,vb_all,vb_progress,that_rel,wh_comm_vb,wh_att_vb,wh_fact_vb,wh_likely_vb,comm_vb_other,att_vb_other,fact_vb_other,likely_vb_other,jj_att_pred,jj_epist_pred,jj_att_other,jj_epist_other,nn_stance_pp,det_nn_stance,nn_stance_other,all_indef_art,all_def_art,nn_stance_new,nn_common,nn_proper,nn_premod,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,th_vb_comm,th_vb_att,th_vb_fact,th_vb_likely,th_jj_att,th_jj_fact,th_jj_likely,th_nn_nonfact,th_nn_att,th_nn_fact,th_nn_likely,to_vb_speech,to_vb_mental,to_vb_desire,to_vb_effort,to_vb_prob,to_jj_certain,to_jj_able,to_jj_affect,to_jj_ease,to_jj_eval,to_nn_stance_all,advl_nonfact,advl_att,advl_fact,advl_likely,X129,th_vb_stance_all,th_jj_stance_all,th_nn_stance_all,th_stange_all,to_vb_stance_all,to_jj_stance_all,to_stance_all,advl_stance_all,ipv_act,tpv_act,tpv_mental,tpv_mental_1,ipv_occur,pv_copular,pv_aspect,nn_human,nn_process,nn_cog,nn_abstact,nn_concrete,nn_technical,nn_quant,nn_place,nn_group,jj_size,jj_time,jj_color,jj_eval,jj_relation,jj_topic,vb_act,vb_comm,vb_mental,vb_cause,vb_occur,vb_exist,vb_aspect,X180,dim_1,dim_2,dim_3,dim_4,dim_5,tt_ratio,word_length,word_count,genitive_of,genitive_s,atrb,premod,subordinator,common_vcc,ncommon_vcc,wh_vcc,to_vcc,ing_vcc,advl,post_nom,NCC,NFNCC,jcmp_that,jcmp_to,it_extra,it_to
0004d,to argue,SS,6.3,0.3,1.9,89.4,0,0.2,5.1,1,4,13.5,2.1,3.1,0,0.8,0,0.8,0.2,6.2,8.8,1.1,0.5,280.8,136.6,84.9,11.7,18.6,4.8,4.8,1.4,4.7,4.8,4.2,87.8,2.8,1.2,30.7,9.7,7.6,1.4,1.9,3.2,2.8,10.7,16.8,1.9,2.7,4,10,3.8,8.8,17.1,22,21.3,1.3,10.8,113.7,22.6,2.7,113.8,3.4,7.8,0.2,0,0.9,0,6.9,1.6,6.3,2.7,1.5,1.4,10.9,3.1,5.3,1.2,3.4,21.2,69.7,1.9,168,23.5,15.4,0.2,0,0,1.3,0.2,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0.3,2.5,0.4,0,0,0,0,0.1,0.9,1,0.1,0.4,0.4,2.9,0.7,0.1,0,0,0.1,0,2.7,0.1,0.1,1.5,0.4,0,10.4,0,1.9,12.4,4.5,0.2,7.4,2,0,0.2,0,0.2,0,0,0.1,3.2,15.1,13.3,38.8,3.5,2.1,2.7,1.3,0.4,0.3,1.5,0,0,3.9,11.3,15.9,10,8.7,2,5.1,6.4,0.9,0,-15.17,-2.71,13.21,-0.81,7.92,31.5,5.4,10263,35.37,2.05,81.26,12.28,4.97,0.78,9.26,0.1,4.09,0,14.42,3.9,2.05,2.44,0,1.56,0,0.49
pspsenup65t03,to explain,PS,5.1,0.4,0,72.5,0,0,6.7,1.7,0,19.8,3.4,1.3,0,3.8,0,0.8,0,3.8,11.8,0,0.4,299.9,117.9,51,30.3,8.8,2.5,0.8,0.8,0.8,0,3.4,60.7,3.8,1.3,27.8,12.2,5.5,0.4,3.8,1.7,2.9,6.3,17.3,2.9,3.4,4.2,4.6,3.8,12.2,11,24.4,23.6,0,1.7,81.7,8.8,2.5,133.5,9.3,6.7,0,0,0,0,24.9,2.1,2.5,1.3,2.5,3.8,13.5,4.2,2.5,2.1,1.3,16.8,61.9,5.9,212.7,20.2,36.6,0,0,1.3,2.9,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,3.8,0,0,0.4,0.4,0,0,0,0,0.4,0,1.3,2.9,0.8,0,0,0,0.4,0,0.4,0.4,0,0.4,1.7,0,5.5,0.8,0,6.3,5.5,0.4,6.3,2.5,0,0,0,0,0,0,0,2.1,9.3,7.6,34.1,9.7,1.7,10.5,8,1.7,1.3,0,0,0.4,3.8,9.7,23.2,4.6,9.7,4.6,4.2,5.1,0.8,0,-12.78,-3.69,4.32,-1.46,6.29,32.3,5,2374,24.01,0,49.71,27.8,5.05,0.42,4.21,0,5.9,0.42,12.22,11.79,0,0.42,0.42,1.68,0.42,2.53
0014e,to argue,LS,7,0.4,1.1,76.4,0,0,10,3,0.7,11.4,1.8,2.2,0,0.4,0,1.8,0.4,8.1,7.4,1.1,0,304.2,101.1,51.3,24,10,8.9,3,0.7,4.8,2.6,1.5,82.7,3.3,1.5,28.8,16.2,4.4,3.3,1.5,1.8,3.7,7,11.1,3.3,2.2,5.5,12.6,1.1,7,14.4,18.1,16.6,1.5,8.1,75.3,10.7,1.8,124,4.4,3,0.4,0,0.7,0.7,8.9,2.2,7.4,7.4,0.7,1.1,8.5,4.4,5.9,1.1,4.8,32.9,61.3,19.2,182,37.7,54.6,0.4,0.4,0,1.5,1.5,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0.4,5.2,2.2,0,0,0.7,0,0,1.5,0.4,0.7,0,0.7,3,1.8,0,0,0,0,0.7,1.5,0,0,1.1,0,0,12.2,0.7,1.8,14.8,6.3,0.7,8.5,1.1,0,0.4,0,0,0,0,0,6.6,21,21.4,24.7,5.9,12.6,0.4,0.4,0,0.7,0,0,0.7,8.5,7,25.5,8.5,14,3,3.7,5.5,0.4,0,-11.24,-2.24,9.43,-1.45,5.71,28.8,5.1,2709,18.09,0.37,49.83,42.08,4.8,2.58,9.97,0,5.54,0.37,14.4,9.23,1.85,1.11,0,1.85,0.74,0.74
0019d,to argue,AH,7.1,0,0.8,69.9,0.4,0,2.5,1.7,6.3,7.9,2.5,2.5,0,0.8,0.8,1.3,0.8,6.7,9.2,0.8,2.1,320.9,122.6,39.3,29.3,19.7,9.2,5.4,1.7,5,0,1.7,84.1,3.3,5,36.4,9.6,3.3,0.4,0.8,0.8,2.5,5.9,6.3,2.9,2.9,10.9,10.9,1.7,9.2,10.9,25.1,12.1,1.7,6.7,74.9,26.4,0.4,113.4,3.8,6.7,0.4,0,0,0,9.2,3.3,3.8,4.2,1.3,0.4,3.8,3.3,2.1,2.1,7.1,28.9,67.8,2.1,182.4,49.8,25.5,0,0.4,0,1.7,1.7,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,2.1,0,3.8,0,0.8,0,0,0,0.4,4.6,0,0.4,0,2.1,0.8,0,0.4,0,0,0,2.9,1.3,0,0.8,1.7,0,12.1,0.8,5,18,3.3,0.4,6.7,3.8,0,0.8,0,0.8,0,0,0,1.7,10.9,11.3,14.6,3.3,4.2,11.3,0.4,0.8,2.1,0.4,0,0.4,2.5,0.4,12.6,8.4,10,2.1,0,9.2,1.3,0,-11.67,-1.11,6.43,-3.89,4.18,30.5,4.9,2390,24.27,7.95,38.91,23.01,5.44,3.35,7.53,0,3.35,0,10.88,3.77,5.44,2.93,0,1.26,0.84,0.84
0019e,to argue,AH,10.8,2.7,0.4,60.8,0,0,4.6,3.8,4.2,10.4,1.5,0.4,0.8,0,0.4,0,0,2.7,14.6,0.4,1.2,290.4,149.2,53.1,26.2,36.9,3.8,8.1,0.4,2.7,0.8,3.1,67.7,1.5,1.9,29.6,11.9,3.1,0,2.3,2.7,1.5,6.2,7.3,3.8,1.2,7.3,8.5,2.7,8.5,8.5,27.7,12.3,0.4,3.8,85,41.2,0.8,105,3.5,5,0.4,0.4,0.4,0,6.5,1.9,8.1,13.1,1.5,0.8,6.5,1.5,9.2,0.4,5.4,23.1,67.3,3.1,145.8,68.1,8.5,0,0,0,0.4,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.8,1.5,5,0,0,0,0,0.4,1.2,1.5,0,0,0,1.2,3.5,0,0,0,0,0,0,0,0,0.8,1.9,0,10.4,0,3.1,13.5,4.6,0,4.6,2.7,0,0.4,0,0,0,0,0,5,7.7,15.4,14.6,0.8,1.2,4.2,2.7,0.8,0.8,0.4,0,0,3.5,1.5,13.5,7.7,11.9,1.5,0.8,9.6,1.2,0,-15.4,-0.99,6.4,-2.93,4.66,30.8,5,2600,34.23,17.69,52.69,6.15,5,1.92,6.54,0,5.38,0,12.31,3.46,3.08,0,0,2.31,0,1.92
pslsmdup187t04,to explain,LS,3.9,0,0,63.8,0,0,1.7,5.5,0.6,14.9,1.1,0,0,1.1,0,2.8,0.6,2.8,9.9,0,0,330.6,131.5,73.7,20.4,4.4,1.7,0.6,1.7,4.4,0,5.5,67.7,1.1,0,35.8,4.4,1.7,1.1,0,0.6,5.5,2.2,15.4,0.6,1.7,2.8,5,1.7,4.4,5,18.2,17.6,0.6,6.1,105.6,5,2.2,104.5,13.2,5.5,0,0,0,0,4.4,0.6,9.4,1.7,0,1.1,6.6,4.4,0,0,0.6,13.2,78.1,2.8,233.8,24.8,47.9,0.6,0,0,0.6,2.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,1.7,1.7,0.6,0,0,0,0,0,0,0,0.6,1.1,0,0,0,0,0,0,0,0,1.7,0,1.7,0,0,4.4,0.6,0,5,1.7,0,1.7,3.3,0,0,0,0,0,0,0,3.9,9.9,1.7,34.7,3.9,8.8,7.2,2.8,1.1,5,0,1.1,1.7,12.1,9.9,16,2.2,9.4,2.8,5,10.5,3.9,0,-18.93,-4.44,8.53,-3.4,1.04,31.8,5.3,1818,26.4,0.55,69.86,40.7,0,0.55,4.4,0,1.1,1.1,11.55,6.05,0,0,0,3.3,0.55,0.55
0019h,to argue,AH,3.1,0.4,1.3,42.7,0,0,1.8,1.3,8.5,13,0.9,0.9,0,0.9,0.4,0.9,0,4.5,13.9,0,1.3,343.2,153.2,53.9,28.3,12.6,4.9,2.2,2.2,4.5,2.7,1.3,80.9,3.1,2.2,35.5,8.5,4,0.4,0.9,0.4,3.1,7.2,8.5,2.2,4.5,5.4,3.6,2.7,4.5,9,22.5,15.3,0,9.4,80.9,21.1,1.3,88.9,4,4.5,0,0,0.4,0,8.5,2.2,3.1,4.5,0.9,0.9,7.2,4.5,7.2,0.4,3.1,25.6,81.8,4.5,206.6,54.4,27,0,0,0,2.2,1.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.4,1.3,1.8,0.4,0.4,0,0,0.9,0.4,0,0.4,0,0.4,0,1.3,0,0,0,0,0.4,1.3,0,1.3,0.4,1.8,0,5.4,0.9,1.3,7.6,2.2,0.4,4,3.6,0,0.4,0,0.4,0,0,0,4.9,24.3,7.6,18.4,6.3,1.3,10.3,1.3,0.9,0,2.7,0,0.9,0,6.3,9.4,6.7,7.6,2.2,3.6,5.8,0.4,0,-18.71,-2.87,9.53,-3.62,5.34,30.5,5,2226,36.39,3.59,53.91,22.91,4.94,0.45,3.14,0,1.8,0,13.48,5.84,1.8,1.35,0.45,1.8,0.9,1.35
prlsreup158t01,to explain,LS,3.5,0,0,73.4,0,0,1.2,1.2,0,11.2,1.2,1.8,0,0,0,2.4,0,9.4,1.2,1.2,0,400.1,121.6,54.1,10.6,2.4,4.1,2.9,0.6,5.9,0,2.4,83.4,0,2.9,30.6,10.6,0.6,1.2,1.2,0,4.1,2.9,16.5,1.2,1.8,3.5,3.5,1.2,5.9,10,10,19.4,1.2,6.5,79.9,2.4,0.6,103.4,3.5,3.5,0,0,0.6,0.6,7.6,1.8,10,1.8,1.8,0,10.6,2.9,1.2,0,0,14.1,57,0.6,279.1,30.6,89.9,0,0,0,1.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.6,1.2,0,0,0,0,0,0,0,0,0,0.6,1.2,0.6,0,0,0,0,0,0,0,1.2,0,0,0,0,2.9,0,0,2.9,2.4,0,2.4,1.2,0,0,0,0.6,0,0,0,6.5,15.3,1.2,32.3,27.6,3.5,24.1,4.1,0,4.7,1.2,0.6,1.8,3.5,0.6,10,6.5,14.7,13.5,3.5,7.1,1.2,0,-20.17,-3.94,8.32,-3.91,2.17,28,5.3,1702,31.14,0,54.05,79.32,2.35,0.59,2.94,0,1.76,0.59,7.05,6.46,0,0,0,4.11,0,1.18
nepsshup165t03,to explain,PS,4.5,0,0,69.4,0,0.9,3.6,6.3,0,35.1,0,4.5,0,0.9,0,4.5,0,1.8,2.7,0.9,0,306.3,128.8,87.4,16.2,2.7,9,0.9,0.9,2.7,0.9,4.5,79.3,1.8,0,30.6,8.1,0.9,0,0.9,0,3.6,5.4,13.5,2.7,3.6,2.7,5.4,4.5,7.2,2.7,15.3,19.8,0.9,4.5,112.6,2.7,2.7,105.4,4.5,5.4,0.9,0,0,0,2.7,0,9,1.8,0.9,0,9.9,6.3,0,0,3.6,10.8,52.3,6.3,202.7,22.5,26.1,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,4.5,1.8,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0.9,3.6,0,1.8,0,0,7.2,0,0,7.2,2.7,0,3.6,5.4,0,0,0,0,0,0,0,0,27.9,3.6,15.3,31.5,7.2,4.5,7.2,0,5.4,0,0,0.9,8.1,2.7,20.7,4.5,13.5,2.7,1.8,7.2,0.9,0,-13.6,-3.17,8.59,-4.54,5.04,30.3,5.3,1110,25.23,0,81.98,23.42,6.31,0,5.41,0,2.7,0,9.91,6.31,0,0.9,0,0,0,0
0024g,to explain,AH,12,2.3,3.2,72,1.4,0.2,3.4,2.3,7.7,10.6,2,1.4,0,3.9,0,1.8,0.9,4.8,3.4,0.7,1.4,311.9,128.2,51.4,18.8,34.2,3.4,3.2,1.6,4.5,2,4.5,62.3,3.6,2.9,33.3,14.5,4.5,1.8,1.1,4.3,3.6,4.8,10.2,1.4,3.4,3.2,4.3,2.9,6.3,13.6,13.6,14.9,1.6,8.2,79.5,43.3,1.1,113.3,7,1.1,0.2,0.2,0.7,0.2,7,5,7.5,5.7,2.3,0.7,15.2,3.4,1.8,1.1,3.4,26.7,67,2.5,173,73.6,16.8,0,0,0,2.7,0.5,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2.7,1.8,2.3,2,0,0.2,0,0,0,0,1.1,0.2,0.2,1.8,3.4,0.7,0,0,0,0.2,0,1.4,0,0.7,2.7,0.9,0,8.8,0.2,1.1,10.2,6.3,0.2,7.9,4.3,0,0.5,0,0,0,0,0.2,9.1,13.4,6.8,21.7,4.8,7,3.4,3.9,0,0.5,1.1,0.2,0.7,3.4,4.3,16.3,7,18.3,3.2,4.8,7.2,2,0,-11.9,-2.35,8.23,-0.93,3.03,32.8,4.9,4415,24.92,6.34,47.57,14.72,2.94,0.91,3.4,0.45,6.8,0.23,13.14,4.98,1.13,0.45,0,1.59,0.23,0.68
0024i,to explain,AH,7.2,2.7,5.4,79.3,0.3,0,0.6,0.6,7.8,17,0.9,0,0.6,5.1,0,2.1,0.3,2.7,3.6,0.3,1.5,326.8,126.4,55.8,17.3,25.3,4.8,1.8,0.6,3.3,0.6,2.7,43.8,1.8,7.2,34,7.2,2.7,0.6,0.3,0.9,2.4,3.6,11.3,1.8,2.4,1.2,2.1,2.1,3,6.3,7.8,15.5,0.6,4.5,84.7,33.4,0.3,119.6,12.2,0.9,0,0,0,0,2.4,5.1,2.4,3.9,0,0.3,5.1,1.5,2.1,0,2.1,37.6,68,1.2,241.2,32.2,52.8,0.3,0,0,1.2,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0.3,0.9,2.1,0,0,0,0,0,0.3,0.3,0.3,0.6,0.6,0.6,0.3,0,0,0,0,0,1.2,0.9,0.6,1.8,0.9,0,6,0,0.6,6.6,2.4,0,3.6,4.2,0,0.3,0.3,0,0,0,0,8.1,6.9,4.5,16.1,14.9,1.5,7.8,16.1,1.5,2.7,1.2,1.8,0.3,2.4,1.5,20.6,5.4,10.4,0.9,4.5,9.2,3.3,0,-14.34,-2.78,3,-4.26,2.47,34,4.8,3354,19.98,3.58,53.37,42.93,0.3,0.89,1.19,0,2.39,0,6.26,8.65,0.6,1.19,0,0.6,0,0.3
nepsshup165t02,to explain,PS,8,4,0,71.7,0,0,4,15.9,0,8,0,8,0,4,0,0,0,0,0,0,0,362.5,139.4,47.8,12,4,8,0,4,4,0,8,75.7,8,0,15.9,23.9,4,0,0,0,0,4,15.9,0,8,8,0,0,8,4,23.9,23.9,0,8,75.7,4,0,123.5,4,0,0,0,0,0,0,0,8,0,0,0,15.9,0,0,0,4,8,99.6,0,266.9,19.9,51.8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,4,4,0,4,8,0,0,0,0,0,0,0,8,39.8,0,12,8,39.8,4,12,0,0,0,0,0,4,0,35.9,4,8,4,0,0,0,0,-12.74,-3.63,10.34,-5.66,3.85,29.5,4.8,251,23.9,0,39.84,51.79,3.98,0,0,0,0,0,7.97,7.97,0,0,0,0,0,3.98
0029f,to argue,AH,7,0.5,1.4,49.1,0,0,2.3,1.9,0.5,12.6,3.7,0.5,0,2.8,0.9,6.5,0,4.7,5.6,0.5,2.3,295.6,121.1,65.5,45.8,40.2,6.5,9.8,0.9,5.1,1.4,1.4,40.7,1.9,1.4,49.6,16.8,5.1,0.5,0,2.8,3.7,8.9,11.7,0.9,3.7,2.3,11.2,3.7,9.4,12.6,9.8,16.4,0.5,7.5,95.4,40.7,0.5,117.4,1.9,2.3,0.5,0,0.9,0,15.4,1.9,6.1,5.6,2.3,1.4,10.8,3.3,5.1,0.5,5.6,17.3,53.8,1.4,183.8,66.4,14,0.9,0,0,2.8,0.9,0.9,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0.9,1.9,1.9,0,0,0.5,0,0,0.5,2.8,0.9,0,1.9,2.3,0,0,0,0,0,0,0.5,0.5,0,3.7,1.4,0,12.2,0.5,3.3,15.9,5.1,0,5.6,5.6,0,0.5,0,0,0,0,0,13.6,23.4,12.6,15.9,1.9,2.3,4.7,0.9,0,2.3,0.9,0,1.4,4.2,0.9,15,17.3,13.1,1.4,1.9,7,1.4,0,-13.76,0.65,4.95,-2.4,5.63,29,5.1,2138,28.06,8.42,62.21,7.95,4.21,1.4,9.82,0,6.08,0,24.32,6.08,3.27,0.47,0,3.27,0.47,2.81
0029h,to argue,AH,10.4,0.9,0,35.4,0,0,4.7,3.3,3.8,8,0.5,1.4,0.5,1.9,1.4,5.7,0,7.5,2.8,0.5,0,304.7,135.4,61.8,48.1,17.5,5.7,4.2,0.9,3.8,1.9,0.9,69.3,2.8,7.1,36.3,17.9,1.9,0.5,0,1.9,1.9,8.5,8,1.9,4.7,1.9,7.5,3.8,11.3,11.3,7.1,14.6,0.5,6.6,96.7,21.2,5.2,107.1,1.4,0,0,0,0.5,0.5,7.1,2.8,3.8,1.9,0.9,0.9,11.3,4.2,1.9,0.9,3.3,17.9,85.8,1.9,175.5,55.2,25.5,0,0,0,2.8,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.4,3.3,3.3,0,0.5,0.5,0,0,2.4,0,0,0.9,1.9,2.4,0.9,0,0,0,0,0,2.4,1.4,0,2.4,0.5,0,9,0.9,2.4,12.3,6.1,0,8.5,4.2,0,0.5,0,0,0,0,0.5,2.4,9,7.1,18.9,2.8,0.5,4.2,1.9,0.9,3.3,0.5,1.4,0.9,2.4,0.5,12.7,5.2,16,4.2,1.9,3.8,1.4,0,-15.24,-1.49,5.34,-4.35,5.87,28.5,5.3,2120,32.08,1.42,59.91,18.87,2.36,0.94,6.6,0.47,5.19,0,14.62,5.19,2.36,2.36,0,7.08,0.94,1.89
0029m,to argue,AH,7.8,0.4,0,20.4,0,0,4.3,1.6,0,12.5,1.2,2,0,2,0,5.1,0.4,2,4.7,0.4,0.4,271.6,133.6,53.7,71.3,21.9,8.2,2,2.4,4.7,2.4,2.4,70.1,4.3,4.3,42.3,22.7,2.7,0.4,0.8,0.8,3.5,11.4,7.1,0.4,2.7,1.6,6.7,4.7,11.4,5.5,11.4,10.2,0.8,9.4,87.8,21.9,3.1,118.7,3.5,0.8,0.4,0,1.2,0,3.9,2.7,5.5,1.6,3.5,1.6,14.1,6.3,4.7,0,2.7,17.6,83.1,0.4,144.6,50.5,13.3,0,0,0,1.2,2.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4,4.3,0.8,0.4,0.8,0.4,0,0,2,0.4,0,0,1.6,2.4,0.4,0,0,0,1.6,0.4,3.1,0,0,2.4,2,0,6.3,1.6,2.4,10.2,4.3,2,9.4,4.3,0,0.4,0,0,0,0,0,4.3,3.9,7.1,20.4,5.9,0,4.3,6.3,11,2,1.6,0,2.4,2.7,3.1,12.1,2.7,17.6,0.4,3.9,5.1,2.7,0,-15.18,-0.46,7.68,-3.69,5.73,29.8,4.9,2552,26.65,4.31,52.51,9.8,4.7,0.39,6.27,0.39,3.53,0,20.38,1.96,2.35,2.74,0,7.84,1.57,1.18
0029n,to argue,AH,5.7,2,0.4,30.1,0,0,3.9,3.9,0.2,8.5,0.2,1.7,0,0.7,0.7,3.3,0,5,5.7,0.7,0.7,279.4,127,86.6,66.5,29,8.6,3.5,1.3,4.2,2.8,2.6,69.7,2.2,9.4,41.4,10.8,2.2,0.2,0.4,0.7,3.7,6.4,12.7,2,3.9,3.9,5.1,4.2,7.4,7.9,14.2,18.6,0.7,8.3,118.9,29.2,4.2,117.3,6.1,2.9,0.2,0,0.4,0.2,4.6,2.4,3.7,2.6,1.3,0.9,10.3,5.5,1.3,0.2,2.4,13.4,68,2,168,37.7,12.7,0.2,0,0,0.7,1.7,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.6,2.4,1.7,0,0.2,0.6,0,0,0.6,0.2,0,0.7,0.6,2.4,0.7,0.2,0.2,0,0.2,0.2,1.1,0.6,0,1.7,0.7,0,7,0.7,0.7,8.5,4.4,0.7,6.3,2.9,0,0,0.4,0,0.2,0,0,2.6,12.1,3.7,22.4,3.7,1.7,6.1,5.1,0.9,0.9,1.7,0.6,1.1,0.7,1.5,11.9,6.1,11.6,5,5.7,5.3,0.6,0,-17.48,0.06,6.4,-4.03,5.12,30.8,5.2,5440,17.83,1.47,86.21,6.8,2.57,0.18,4.96,0,4.23,0,15.99,4.04,0.74,1.1,0,4.6,0.74,0
nepsshup165t01,to explain,PS,5.5,0,0,77.3,1.8,0,0,5.5,3.7,12.9,0,0,0,1.8,1.8,0,0,9.2,5.5,0,0,342.5,132.6,49.7,5.5,7.4,9.2,0,1.8,1.8,0,1.8,103.1,9.2,0,12.9,20.3,3.7,1.8,0,0,1.8,3.7,12.9,3.7,1.8,1.8,5.5,0,5.5,12.9,9.2,18.4,0,3.7,75.5,12.9,5.5,112.3,5.5,5.5,0,0,0,0,3.7,1.8,9.2,0,0,1.8,16.6,5.5,0,1.8,1.8,18.4,81,1.8,209.9,23.9,38.7,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.8,0,0,0,0,0,0,3.7,0,0,1.8,1.8,0,0,0,0,0,0,0,1.8,1.8,0,0,0,0,3.7,0,3.7,7.4,3.7,0,5.5,1.8,0,0,0,0,0,0,0,0,38.7,7.4,11,3.7,14.7,12.9,9.2,0,5.5,0,0,1.8,3.7,3.7,18.4,3.7,18.4,3.7,7.4,5.5,3.7,0,-16.22,-3.45,7.46,-4.4,4.06,29.8,4.9,543,49.72,0,49.72,38.67,1.84,0,5.52,0,3.68,0,3.68,5.52,3.68,1.84,0,3.68,0,3.68
0040c,to argue,AH,8.2,1.1,0.8,47.2,0.4,0.1,5.1,1.2,2.8,10.5,1.9,0.4,0,1.5,0.1,1.8,0.3,4.3,11,0.5,1,321.4,123.1,44.5,43.6,22.5,9.5,7.1,1.1,3.2,1.4,2.2,107,3.2,5.1,36.3,13,5.2,1.6,1.9,2,2.9,11.2,11.7,2.5,2.7,3.4,8.4,4.1,5.4,11.5,19,16.9,0.8,5.6,69.7,25.7,2,107.9,4.7,3.3,0.3,0,0.4,0,13.8,3.2,4.4,4.7,1.5,1.5,10.2,4.4,6.2,1.5,5.5,20,73.8,4.1,152.7,57.2,25.7,0.1,0,0.1,0.9,0.9,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0.3,2.7,2.8,0.1,0.4,0.3,0.1,0,0.8,0.4,0,0.7,1.7,1.2,0.5,0.1,0,0,0.1,0.1,1.5,0.9,0.2,2,0.5,0,10.6,0.8,1.3,12.6,4.1,0.3,5.8,3.6,0,0.4,0,0,0,0,0.1,2.6,8.2,5.6,16.7,3.3,2.6,6.6,2.7,1.5,0.9,0.6,0,0.4,3.4,3.9,15.2,11.5,14.3,1.1,1.5,6.3,1.5,0,-15.53,-0.16,8.2,-1.82,7.98,32.5,5.1,10330,29.72,7.55,43.47,21.97,3.58,1.06,7.36,0.19,4.45,0.19,18.49,4.55,1.36,1.45,0,2.61,0.87,1.65
0040d,to argue,AH,3.6,0,0,46.3,0,0,8,2.2,0,8,0.7,0,0,1.4,0,0.7,0,0,13,0,0.7,324.2,127.4,55.7,25.3,10.1,4.3,5.8,0.7,1.4,2.2,2.2,62.2,2.9,4.3,43.4,8.7,2.2,2.9,0,0.7,2.9,12.3,2.9,0,4.3,2.2,9.4,6.5,7.2,2.9,17.4,7.2,0,4.3,76,10.1,1.4,89,5.1,3.6,0,0,0,0,6.5,0.7,4.3,6.5,2.2,2.2,12.3,2.9,3.6,1.4,5.8,35.5,61.5,5.8,183.8,76.7,16.6,0,0,0,0.7,1.4,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,1.4,0.7,0,0,0,0,0,0.7,0,0,0,0.7,0.7,0.7,0,0,0,0.7,0,0.7,3.6,0.7,2.2,0,0,7.2,0,0.7,8,2.2,0.7,3.6,6.5,0,0,0,0,0,0,0,2.2,21,8.7,15.2,6.5,1.4,2.9,10.9,1.4,2.9,0.7,0,1.4,2.2,5.1,12.3,6.5,7.2,2.2,1.4,4.3,0,0,-19.51,-2.54,4.65,-3.65,5.9,32.3,5.1,1382,28.94,3.62,53.55,13.02,2.17,0.72,8.68,0,3.62,0,20.98,5.07,0.72,0,0,1.45,0,1.45
